,Date,Open,High,Low,Close,Volume,Turnover,AnnualVolatility365,AnnualVolatility254,logreturns
74,2017-04-21,21567.5,21614.55,21386.2,21551.45,77253527,31801400000.0,9.98428483708,8.32889502478,0.00279024455675
75,2017-04-24,21591.9,21884.85,21578.65,21857.4,84637572,34268300000.0,10.1930999747,8.50308870911,0.0140964373048
76,2017-04-25,21960.65,22093.25,21900.3,22054.7,88819491,29512500000.0,11.7050219543,9.76433472307,0.00898619413285
77,2017-04-26,22158.65,22276.05,21814.9,22242.85,133893025,34402500000.0,12.4139500651,10.3557228807,0.00849487754756
78,2017-04-27,22274.05,22380.85,22169.8,22326.3,166567366,51215700000.0,12.0748036637,10.072806796,0.0037447470961
79,2017-04-28,22296.8,22383.0,22182.55,22358.25,167782299,34358700000.0,11.5074149109,9.5994908362,0.00143002471524
80,2017-05-02,22412.55,22492.15,22266.15,22341.35,140738147,32718100000.0,11.4736371456,9.57131340879,-0.000756158927832
81,2017-05-03,22445.85,22449.0,22240.05,22307.3,130697797,29997900000.0,11.3108696918,9.43553272355,-0.00152524238028
82,2017-05-04,22618.3,22743.7,22449.9,22720.1,226413641,65773100000.0,11.612679056,9.68730223463,0.0183360160943
83,2017-05-05,22844.85,22853.55,22514.0,22604.95,255187439,63714400000.0,13.4676159519,11.2346914504,-0.00508108640761
84,2017-05-08,22678.45,22835.15,22632.5,22767.35,106479323,31705700000.0,14.0278971192,11.702078259,0.00715858325539
85,2017-05-09,22820.8,22835.35,22664.35,22707.3,81028829,23506800000.0,13.9905144836,11.6708936471,-0.00264103340672
86,2017-05-10,22767.75,22859.4,22742.05,22830.35,73498955,23533400000.0,13.4582660606,11.2268917667,0.00540433243663
87,2017-05-11,22916.05,22977.85,22764.65,22818.45,78856978,25576000000.0,13.0683999143,10.9016652473,-0.000521371877007
88,2017-05-12,22840.4,22859.15,22578.0,22671.7,96397424,42783200000.0,12.7909504319,10.6702167609,-0.00645196857228
89,2017-05-15,22735.85,22891.7,22730.35,22821.5,74700041,32078300000.0,13.8462115095,11.5505160395,0.00658562340777
90,2017-05-16,22857.6,22944.1,22727.65,22928.6,134784390,38364100000.0,14.1767234416,11.826229246,0.00468196553201
91,2017-05-17,22972.35,22978.15,22830.1,22935.95,96263996,30280400000.0,14.1206430321,11.7794469424,0.000320508979721
92,2017-05-18,22750.45,22834.55,22660.2,22698.6,113423012,40138900000.0,13.945186025,11.633080626,-0.010402300023
93,2017-05-19,22761.95,22902.25,22628.45,22769.8,154944222,49459000000.0,11.5450629557,9.63089685252,0.0031318479734
94,2017-05-22,22874.8,22918.35,22637.75,22652.85,99779442,30933100000.0,11.1665156986,9.31511255572,-0.00514942472207
95,2017-05-23,22674.9,22740.4,22492.2,22582.8,114212196,33643600000.0,10.7597633006,8.97579951735,-0.00309711725129
96,2017-05-24,22624.5,22673.4,22469.8,22536.3,91993332,28411500000.0,10.7999502895,9.00932352208,-0.00206121205712
97,2017-05-25,22573.65,23267.8,22570.35,23190.8,132711087,48306000000.0,10.0462656251,8.38059942679,0.0286283057812
98,2017-05-26,23151.4,23408.35,23092.35,23362.2,78876968,26316400000.0,20.7217875382,17.2861247398,0.00736368330704
99,2017-05-29,23310.6,23464.0,23141.15,23182.75,60052384,20708300000.0,20.214390051,16.8628535215,-0.00771086397709
100,2017-05-30,23142.1,23337.15,23093.95,23307.25,66704876,20506700000.0,21.0153967593,17.5310536877,0.00535600333943
101,2017-05-31,23321.2,23469.45,23248.5,23424.8,182918715,58662600000.0,21.059767516,17.5680677935,0.00503081923109
102,2017-06-01,23394.1,23396.15,23224.05,23310.15,81509629,24885000000.0,21.1324088062,17.6286651913,-0.00490640216777
103,2017-06-02,23435.2,23453.3,23308.4,23375.9,67217648,21389000000.0,20.04572105,16.7221497629,0.00281668907394
104,2017-06-05,23397.4,23494.7,23349.95,23459.65,52203667,18321800000.0,20.0436074852,16.7203866262,0.00357634699562
105,2017-06-06,23523.05,23536.1,23381.7,23416.3,54088336,18922700000.0,19.3519620744,16.1434157049,-0.00184956304279
106,2017-06-07,23482.85,23606.15,23427.55,23567.65,56452419,17936600000.0,19.1935208287,16.0112439445,0.0064426479049
107,2017-06-08,23630.35,23659.1,23514.2,23536.1,64825589,23014500000.0,18.8565544169,15.7301464081,-0.00133959630467
108,2017-06-09,23483.95,23708.65,23476.85,23690.9,58400790,19467200000.0,9.81120757098,8.18451388941,0.00655559550206
109,2017-06-12,23610.15,23630.1,23441.8,23470.45,56374007,17527100000.0,9.62498625905,8.02916798496,-0.00934882507045
110,2017-06-13,23447.0,23615.2,23446.9,23477.85,47770607,15687500000.0,10.2820362003,8.57727934958,0.000315240384051
111,2017-06-14,23555.3,23562.8,23399.4,23498.7,81088281,27060600000.0,9.90650239366,8.26400887453,0.000887676994973
112,2017-06-15,23444.7,23473.3,23311.85,23391.75,72763994,21502000000.0,9.48413216449,7.91166743418,-0.00456170437526
113,2017-06-16,23448.6,23527.65,23391.0,23502.75,102155200,33019300000.0,9.40916009973,7.84912570312,0.0047340394845
114,2017-06-19,23571.35,23806.65,23535.7,23742.15,60483537,22072900000.0,9.68045085241,8.07543657436,0.0101345139487
115,2017-06-20,23720.6,23760.35,23651.2,23697.95,71814671,21456400000.0,11.2051264328,9.3473216481,-0.00186340301937
116,2017-06-21,23638.15,23760.75,23610.2,23708.75,62327766,18791900000.0,11.2066555359,9.34859722657,0.000455631806763
117,2017-06-22,23716.85,23897.85,23694.15,23736.1,79042264,26718200000.0,10.6391745899,8.87520435919,0.00115291767302
118,2017-06-23,23772.3,23786.5,23507.5,23542.75,74946434,22965400000.0,10.5614669627,8.8103806207,-0.00817917855059
119,2017-06-27,23636.95,23640.1,23055.75,23216.25,101336046,31707100000.0,11.0704378829,9.23496439747,-0.0139654529194
120,2017-06-28,23209.55,23322.55,23113.65,23235.85,95524464,30086500000.0,12.7668517957,10.6501136674,0.000843880089949
121,2017-06-29,23312.4,23476.0,23124.35,23227.3,146858174,43412300000.0,12.7943977409,10.6730925077,-0.000368033596366
122,2017-06-30,23137.25,23254.1,22996.4,23211.2,70715291,23269300000.0,12.740201487,10.6278819676,-0.000693390210496
123,2017-07-03,23240.35,23330.1,23144.3,23272.8,51036105,17296200000.0,12.5342135846,10.4560467643,0.00265037587381
124,2017-07-04,23325.5,23363.05,23163.7,23214.2,55294067,17401400000.0,12.2221413523,10.1957159639,-0.00252113627634
125,2017-07-05,23241.9,23380.35,23205.55,23352.6,89709252,18632900000.0,9.68070886564,8.07565180912,0.0059441665525
126,2017-07-06,23399.5,23540.15,23369.5,23466.65,130090775,25249000000.0,10.8814685192,9.07732606698,0.0048719373159
127,2017-07-07,23463.75,23492.6,23400.6,23449.15,88942526,19229700000.0,11.5072140611,9.59932328715,-0.000746017367779
128,2017-07-10,23583.25,23964.8,23289.9,23675.05,36606673,7049000000.0,11.4182079949,9.52507438567,0.00958750410175
129,2017-07-11,23744.55,23744.55,23552.6,23584.6,78963065,24862400000.0,12.0519296384,10.0537252735,-0.00382779434209
130,2017-07-12,23623.75,23736.55,23523.65,23695.45,69663347,21158300000.0,7.95727702846,6.63796417415,0.00468908992736
131,2017-07-13,23817.25,23938.0,23811.0,23888.65,84983841,34155700000.0,8.15091313856,6.79949550668,0.00812040415384
132,2017-07-14,23949.5,23963.65,23755.95,23937.7,71052482,22422300000.0,8.75884869344,7.30663562748,0.0020511712559
133,2017-07-17,24011.4,24066.1,23913.65,24015.05,65783041,19479000000.0,8.46600956648,7.06234909246,0.00322609514934
134,2017-07-18,23958.15,24147.45,23942.1,24022.05,75082364,22163100000.0,8.46125024162,7.05837886146,0.000291441408809
135,2017-07-19,24069.2,24180.75,24053.7,24152.65,72823157,25892700000.0,7.84642231022,6.54548911698,0.00542194637196
136,2017-07-20,24170.65,24299.6,24170.65,24213.35,91515347,36681700000.0,7.78441003052,6.4937584446,0.00251002902323
137,2017-07-21,24231.4,24289.3,24066.9,24257.05,65322497,19781500000.0,7.73001560832,6.44838259246,0.00180316283094
138,2017-07-24,24307.7,24460.55,24234.65,24420.85,74481260,31852400000.0,7.3556627143,6.13609723528,0.00672997882997
139,2017-07-25,24622.9,24624.65,24450.2,24520.7,76545885,29881600000.0,6.53571150493,5.45209355753,0.0040803831729
140,2017-07-26,24578.15,24720.9,24484.9,24670.7,132701870,46781000000.0,4.5928948469,3.83139500364,0.0060986458982
141,2017-07-27,24857.5,25032.25,24799.4,24922.4,152249420,65189200000.0,4.76768050984,3.97720128443,0.0101506927854
142,2017-07-28,24744.55,24859.75,24651.05,24811.3,100038906,45081300000.0,5.5647005388,4.64207576089,-0.00446780291062
143,2017-07-31,24880.6,25168.1,24828.5,25103.65,130095973,46185600000.0,7.6178546061,6.35481783257,0.0117140593347
144,2017-08-01,25152.85,25179.5,25000.9,25122.8,71831819,28301800000.0,9.04771353861,7.54760681481,0.000762546464181
145,2017-08-02,25190.4,25198.8,24926.25,25055.2,86354876,26589700000.0,8.96434409707,7.47805998815,-0.00269440953793
146,2017-08-03,25002.85,25005.15,24619.6,24675.05,88206784,26813600000.0,9.90985563799,8.2668061525,-0.0152887791585
147,2017-08-04,24629.5,24879.7,24591.8,24827.45,67776967,22268300000.0,15.1843432367,12.6667861447,0.00615728423752
148,2017-08-07,24854.15,24979.35,24844.45,24906.35,52223527,17039000000.0,15.4006972014,12.847268722,0.00317289514142
149,2017-08-08,24942.2,24966.05,24534.35,24599.5,70792652,24386100000.0,15.1356673412,12.6261806901,-0.0123966735104
150,2017-08-09,24519.25,24532.4,24328.1,24374.6,78290219,23962700000.0,17.3193380184,14.4477997781,-0.00918451103565
151,2017-08-10,24300.45,24326.9,23822.2,24217.35,87718421,29911000000.0,17.7084933979,14.7724333755,-0.0064722880617
152,2017-08-11,23958.25,24191.2,23868.3,23985.75,157833300,47238200000.0,16.1649542941,13.4848123419,-0.00960941442254
153,2017-08-14,24051.05,24212.15,24038.15,24115.75,76330838,24579500000.0,16.6619153554,13.8993774889,0.0054052500032
154,2017-08-16,24188.75,24461.2,23947.45,24437.7,94859044,31081700000.0,14.6590659566,12.2285995949,0.0132618678435
155,2017-08-17,24495.2,24496.2,24121.55,24237.25,69545034,21269400000.0,17.8982605047,14.9307371837,-0.00823631593489
156,2017-08-18,24125.3,24130.15,23925.95,24074.45,60046818,18480700000.0,18.2000305503,15.1824738952,-0.00673959377237
157,2017-08-21,24140.55,24258.95,23882.25,23936.5,69872289,24383500000.0,16.5806032993,13.8315469341,-0.00574662153672
158,2017-08-22,24080.6,24127.45,23852.65,23974.45,70219974,23765600000.0,15.6011114759,13.0144544024,0.00158418933195
159,2017-08-23,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501
160,2017-08-24,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475
161,2017-08-28,24351.25,24422.45,24301.35,24377.1,52177374,16857000000.0,16.734599705,13.9600108069,0.00423010910045
162,2017-08-29,24302.0,24320.95,24103.3,24128.95,60922360,19753900000.0,16.4089184981,13.6883273936,-0.0102318026264
163,2017-08-30,24253.05,24384.1,24241.3,24308.7,47423550,16082100000.0,16.5703648973,13.8230060544,0.0074219465697
164,2017-08-31,24354.35,24354.35,24207.7,24318.4,79848731,28706500000.0,16.8502079414,14.0564512511,0.000398954497745
165,2017-09-01,24389.2,24494.35,24319.2,24434.0,66906837,18275800000.0,14.6379789773,12.211008827,0.00474233952181
166,2017-09-04,24456.3,24459.35,24156.4,24236.85,52531466,15546900000.0,13.9355651035,11.6250548489,-0.0081014027201
167,2017-09-05,24272.6,24388.05,24256.3,24328.3,47757761,15827000000.0,14.2553262266,11.8917997256,0.00376607950718
168,2017-09-06,24192.4,24331.3,24151.1,24279.15,59006554,19962500000.0,13.6644122797,11.398859038,-0.00202232442768
169,2017-09-07,24324.85,24413.1,24246.9,24304.9,69696218,24190100000.0,13.8412038088,11.5463386133,0.00106001876793
170,2017-09-08,24409.5,24419.25,24273.0,24370.8,47085077,17857200000.0,10.8148672118,9.0217672256,0.00270771823573
171,2017-09-11,24468.5,24735.35,24458.25,24672.25,60804947,29730800000.0,10.8654460059,9.06396007901,0.0122934359289
172,2017-09-12,24779.15,24821.35,24653.6,24784.7,66927717,23875800000.0,12.9173389728,10.7756501401,0.00454739703025
173,2017-09-13,24818.35,24948.8,24737.8,24831.8,68334647,20539500000.0,10.464281894,8.72930879148,0.0018985625406
174,2017-09-14,24857.25,24994.3,24815.5,24912.25,77726236,27469500000.0,9.96988394455,8.31688179357,0.00323456052097
175,2017-09-15,24840.3,24916.85,24791.55,24844.3,114568146,37544900000.0,9.91736649216,8.27307171052,-0.0027313003913
176,2017-09-18,24948.15,25105.35,24941.75,25046.9,65913355,23198400000.0,10.228333373,8.5324804262,0.00812171740356
177,2017-09-19,25059.75,25103.45,24993.0,25041.55,60118203,18632000000.0,8.49504115492,7.08656725695,-0.000213622103313
178,2017-09-20,24984.65,25052.6,24938.3,24965.05,87376241,26101700000.0,8.74082589932,7.2916010043,-0.00305959852009
